wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp
2025-10-29T19:24:41,14.687,none,1,20,27,20,27,140.0,140.0,0.0,0.143492,0.192456,1.341231,0.0,1.119,OK,104.0120,239.8503,0.10,1,740.796119,1610.486680,2.173994,,,,L↓
2025-10-29T19:24:41,15.328,none,2,52,59,51,58,140.0,140.0,0.0,0.130659,0.136440,1.192738,20.0,0.672,OK,99.3673,246.8742,0.10,1,727.182376,1735.452970,2.386544,,,,L↓
2025-10-29T19:24:42,15.984,none,3,83,90,83,90,140.0,140.0,0.0,0.087792,0.148328,1.341231,0.0,1.119,OK,87.5410,243.5237,0.10,1,735.008000,1772.304000,2.411272,,,,L↓
2025-10-29T19:24:43,16.578,none,4,114,121,114,121,140.0,140.0,0.0,0.104402,0.154645,1.411238,0.0,1.313,OK,81.3575,239.9087,0.10,1,701.645333,1753.336000,2.498892,,,,L↓
2025-10-29T19:24:43,17.234,none,5,145,152,145,152,140.0,140.0,0.0,0.156537,0.181493,1.341231,0.0,1.119,OK,83.9049,245.4240,0.10,1,715.048000,1921.613333,2.687391,,,,L↓
2025-10-29T19:24:44,17.844,none,6,176,183,176,183,140.0,140.0,0.0,0.207836,0.214334,1.159430,0.0,0.564,OK,92.7301,256.0338,0.10,1,772.592000,2059.088000,2.665169,1.056760,1.168065,1.105327,BAL
2025-10-29T19:24:44,18.437,none,7,207,214,206,213,140.0,140.0,0.0,0.220747,0.138698,1.159430,20.0,0.564,OK,100.0809,255.0055,0.10,1,729.186667,2119.658667,2.906881,1.000000,1.195990,1.195990,BAL
2025-10-29T19:24:45,19.047,none,8,237,244,237,244,140.0,140.0,0.0,0.142803,0.102918,1.031264,0.0,0.117,OK,99.9510,240.9783,0.10,1,734.224000,1849.744000,2.519318,1.003442,1.021380,1.017876,BAL
2025-10-29T19:24:46,19.640,none,9,268,275,267,274,140.0,140.0,0.0,0.133582,0.065035,0.720695,20.0,1.248,OK,97.5911,226.6968,0.10,1,769.026667,1903.600000,2.475337,1.047401,1.029115,0.982542,BAL
2025-10-29T19:24:46,20.234,none,10,298,305,298,305,140.0,140.0,0.0,0.128620,0.174769,0.720695,0.0,1.248,OK,97.4206,228.2224,0.10,1,779.832000,1767.928000,2.267063,1.061551,0.976204,0.919602,BAL
2025-10-29T19:24:47,20.890,none,11,329,336,328,335,140.0,140.0,0.0,0.171613,0.181389,0.720695,20.0,1.248,OK,99.1908,237.4617,0.10,1,804.026667,1799.306667,2.237869,1.093902,1.000000,0.914159,BAL
2025-10-29T19:24:47,21.500,none,12,360,367,359,366,140.0,140.0,0.0,0.173929,0.153497,0.882526,20.0,0.476,OK,101.6290,243.7950,0.10,1,809.765333,1699.749333,2.099064,1.097389,0.951811,0.867342,BAL
2025-10-29T19:24:48,22.156,none,13,392,399,391,398,140.0,140.0,0.0,0.198611,0.158838,0.882526,20.0,0.476,OK,98.3102,237.2350,0.10,0,765.496000,1647.701333,2.152462,1.037395,0.922666,0.889406,BAL
2025-10-29T19:24:49,22.828,none,14,424,431,423,430,140.0,140.0,0.0,0.183271,0.141972,0.882526,20.0,0.476,OK,98.3102,237.2350,0.10,0,715.970667,1605.549333,2.242479,0.970279,0.899062,0.926602,BAL
2025-10-29T19:24:49,23.484,none,15,455,462,455,462,140.0,140.0,0.0,0.126355,0.135133,0.882526,0.0,0.476,OK,98.3102,237.2350,0.10,0,779.320000,1608.528000,2.064015,1.056129,0.900730,0.852859,BAL
2025-10-29T19:24:50,24.015,none,16,487,494,487,494,140.0,140.0,0.0,0.233824,0.183804,0.799746,0.0,0.852,OK,98.3102,237.2350,0.10,0,961.773333,1577.437333,1.640134,1.303389,0.883320,0.677710,R↓
2025-10-29T19:24:51,24.672,none,17,518,525,518,525,140.0,140.0,0.0,0.275840,0.217823,0.789672,0.0,0.900,OK,98.3102,237.2350,0.10,0,843.856000,1637.784000,1.940834,1.143588,0.917112,0.801960,BAL
2025-10-29T19:24:52,25.875,none,18,579,586,579,586,140.0,140.0,0.0,0.193788,0.088315,0.786079,0.0,0.917,OK,98.3102,237.2350,0.10,0,603.082667,1541.917333,2.556726,0.817294,0.863430,1.056450,BAL
2025-10-29T19:24:54,27.734,pressure_start,19,671,678,670,677,140.0,140.0,0.0,0.435403,0.181075,0.786079,20.0,0.917,OK,98.3102,237.2350,0.10,0,925.112000,1919.837333,2.075249,1.253706,1.075054,0.857501,BAL
2025-10-29T19:24:54,28.344,pressure_start,20,701,708,700,707,140.0,140.0,0.0,0.743666,0.216387,0.500000,20.0,2.642,WARN,98.3102,237.2350,0.10,0,862.514667,1952.266667,2.263459,1.168874,1.093214,0.935271,BAL
2025-10-29T19:24:55,28.937,pressure_start,21,731,738,731,738,140.0,140.0,0.0,0.194912,0.203302,0.500000,0.0,2.642,WARN,98.3102,237.2350,0.10,0,854.298667,1923.346667,2.251375,1.157740,1.077019,0.930277,BAL
2025-10-29T19:24:55,29.547,pressure_start,22,762,769,761,768,140.0,140.0,0.0,0.169525,0.101427,0.500000,20.0,2.642,WARN,98.3102,237.2350,0.10,0,923.186667,1828.848000,1.981016,1.251096,1.024103,0.818564,BAL
2025-10-29T19:24:56,30.140,pressure_start,23,792,799,792,799,140.0,140.0,0.0,0.137146,0.075450,0.550141,0.0,2.278,WARN,98.3102,237.2350,0.10,0,928.290667,1704.672000,1.836356,1.258013,0.954568,0.758790,R↓
2025-10-29T19:24:57,30.734,pressure_start,24,822,829,823,830,140.0,140.0,0.0,0.140006,0.137021,0.598303,20.0,1.958,WARN,98.3102,237.2350,0.10,0,912.152000,1770.154667,1.940636,1.236142,0.991236,0.801879,BAL
2025-10-29T19:24:57,31.406,pressure_start,25,852,859,854,861,140.0,140.0,0.0,0.165091,0.181035,0.978679,40.0,0.082,OK,98.3102,237.2350,0.10,0,935.074667,1071.834667,1.146256,1.267207,0.600197,0.473638,R↓
2025-10-29T19:24:58,32.000,pressure_start,26,883,890,884,891,140.0,140.0,0.0,0.217661,0.138389,0.635803,20.0,1.726,WARN,98.3102,237.2350,0.10,0,766.258667,846.512000,1.104734,1.038429,0.474023,0.456481,R↓
2025-10-29T19:25:02,36.265,peak_pressure,27,1094,1101,1090,1097,140.0,140.0,0.0,0.922354,0.191031,0.635803,80.0,3.326,HIGH,98.3102,237.2350,0.10,0,606.093333,41.376000,0.068267,0.821374,0.023169,0.028208,R↓
2025-10-29T19:25:06,39.797,peak_pressure,28,1274,1281,1270,1277,140.0,140.0,0.0,0.074654,0.025465,0.635803,80.0,3.326,HIGH,98.3102,237.2350,0.10,0,507.629333,29.170667,0.057465,0.687936,0.016335,0.023745,R↓
2025-10-29T19:25:14,48.140,peak_pressure,29,1691,1698,1690,1697,140.0,140.0,0.0,0.025468,0.010856,0.500000,20.0,2.642,WARN,98.3102,237.2350,0.10,0,616.066667,31.008000,0.050332,0.834889,0.017364,0.020797,R↓
2025-10-29T19:25:25,59.125,peak_pressure,30,2239,2246,2239,2246,140.0,140.0,0.0,0.043032,0.030556,0.500000,0.0,2.642,WARN,98.3102,237.2350,0.10,0,810.610667,18.285333,0.022557,1.098534,0.010239,0.009321,R↓
