wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp
2025-10-28T21:50:11,14.265,none,1,7,14,7,14,140.0,140.0,0.0,0.083600,0.133454,1.596342,0.0,1.783,WARN,23.1929,45.1912,0.10,1,88.161503,192.598288,2.184608,,,,L↓
2025-10-28T21:50:12,15.609,none,2,73,80,73,80,140.0,140.0,0.0,0.108732,0.070535,1.122526,0.0,0.441,OK,11.6730,21.8690,0.10,1,89.963895,203.512247,2.262155,,,,L↓
2025-10-28T21:50:13,16.265,none,3,107,114,105,112,140.0,140.0,0.0,0.339583,0.263260,0.775244,40.0,0.970,OK,17.7879,31.6146,0.10,1,121.888000,267.952000,2.198346,,,,L↓
2025-10-28T21:50:13,16.937,none,4,139,146,138,145,140.0,140.0,0.0,0.167100,0.257674,1.158641,20.0,0.561,OK,21.0158,41.8666,0.10,1,139.544000,263.576000,1.888838,,,,L↓
2025-10-28T21:50:14,17.593,none,5,172,179,172,179,140.0,140.0,0.0,0.098335,0.099992,1.016845,0.0,0.064,OK,21.5032,41.4883,0.10,1,110.485333,235.162667,2.128451,,,,L↓
2025-10-28T21:50:15,18.968,none,6,242,249,242,249,140.0,140.0,0.0,0.040595,0.090420,1.016845,0.0,0.064,OK,17.2503,35.3302,0.10,1,117.584000,240.709333,2.047127,1.031125,1.011656,0.981118,BAL
2025-10-28T21:50:17,20.343,none,7,310,317,309,316,140.0,140.0,0.0,0.076935,0.115248,1.497993,20.0,1.540,WARN,15.0493,32.5724,0.10,1,131.941333,214.786667,1.627895,1.122103,0.913354,0.813966,BAL
2025-10-28T21:50:17,21.015,none,8,343,350,343,350,140.0,140.0,0.0,0.306517,0.159713,1.497993,0.0,1.540,WARN,18.1367,33.0727,0.10,1,140.448000,257.370667,1.832498,1.172981,1.081680,0.922164,BAL
2025-10-28T21:50:18,21.734,none,9,380,387,378,385,140.0,140.0,0.0,0.222030,0.247178,1.113262,40.0,0.409,OK,20.2515,34.4838,0.10,1,131.992000,225.408000,1.707740,1.082896,0.958519,0.885145,BAL
2025-10-28T21:50:20,23.109,none,10,447,454,447,454,140.0,140.0,0.0,0.221501,0.042253,1.113262,0.0,0.409,OK,20.5175,34.5295,0.10,0,137.546667,214.608000,1.560256,1.128468,0.912594,0.808702,BAL
