wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp
2025-10-29T19:19:55,14.484,none,1,3,10,3,10,140.0,140.0,0.0,0.118803,0.119273,1.003957,0.0,0.015,OK,673.5476,848.4106,0.10,1,1590.378294,1852.843124,1.165033,,,,BAL
2025-10-29T19:19:55,15.109,none,2,34,41,34,41,140.0,140.0,0.0,0.116433,0.109471,0.972083,0.0,0.108,OK,477.2526,585.3830,0.10,1,2605.703917,2917.847395,1.119792,,,,BAL
2025-10-29T19:19:56,15.781,none,3,64,71,65,72,140.0,140.0,0.0,0.099563,0.144973,1.003957,20.0,0.015,OK,415.0319,504.4625,0.10,1,2599.866770,2769.315038,1.065176,,,,BAL
2025-10-29T19:19:57,16.375,none,4,95,102,95,102,140.0,140.0,0.0,0.148295,0.120499,0.972083,0.0,0.108,OK,404.1813,460.2770,0.10,1,2487.842667,3216.456000,1.292870,,,,BAL
2025-10-29T19:19:57,16.984,none,5,126,133,126,133,140.0,140.0,0.0,0.131145,0.131509,1.002775,0.0,0.011,OK,380.7293,432.4243,0.10,1,2368.186667,3236.418667,1.366623,,,,L↓
2025-10-29T19:19:58,17.578,none,6,156,163,156,163,140.0,140.0,0.0,0.112133,0.138286,1.002775,0.0,0.011,OK,365.8797,428.0612,0.10,1,2330.928000,3185.125333,1.366462,0.960014,1.043795,1.087270,BAL
2025-10-29T19:19:59,18.172,none,7,187,194,187,194,140.0,140.0,0.0,0.144752,0.169001,1.167520,0.0,0.590,OK,366.1849,439.1576,0.10,1,2501.885333,3317.653333,1.326061,1.005645,1.041608,1.035762,BAL
2025-10-29T19:19:59,18.843,none,8,218,225,218,225,140.0,140.0,0.0,0.114320,0.143477,1.167520,0.0,0.590,OK,360.1637,444.1154,0.10,1,2405.285333,3318.704000,1.379755,0.983128,1.036839,1.054633,BAL
2025-10-29T19:20:00,19.437,none,9,250,257,250,257,140.0,140.0,0.0,0.117132,0.155874,1.233233,0.0,0.799,OK,346.6636,437.0360,0.10,1,2149.648000,3187.026667,1.482581,0.893718,1.000000,1.118921,BAL
2025-10-29T19:20:00,20.093,none,10,282,289,282,289,140.0,140.0,0.0,0.147070,0.185203,1.255052,0.0,0.866,OK,338.6748,432.6106,0.10,1,2024.165333,3090.080000,1.526595,0.848089,0.969870,1.143594,BAL
2025-10-29T19:20:01,20.703,none,11,313,320,313,320,140.0,140.0,0.0,0.143143,0.177507,1.255052,0.0,0.866,OK,332.9342,432.1944,0.10,1,1937.165333,3152.181333,1.627213,0.817995,0.989657,1.209857,BAL
2025-10-29T19:20:02,21.359,none,12,344,351,344,351,140.0,140.0,0.0,0.147392,0.190095,1.259278,0.0,0.879,OK,328.2067,433.5000,0.10,1,1825.664000,3091.485333,1.693348,0.777025,0.975646,1.255618,BAL
2025-10-29T19:20:02,21.953,none,13,374,381,374,381,140.0,140.0,0.0,0.123392,0.164363,1.289729,0.0,0.970,OK,323.1811,433.7844,0.10,1,1861.917333,3110.152000,1.670403,0.798788,0.986667,1.235205,BAL
2025-10-29T19:20:03,22.500,none,14,404,411,404,411,140.0,140.0,0.0,0.153815,0.165454,1.259278,0.0,0.879,OK,319.0798,428.2796,0.10,0,1816.848000,3119.661333,1.717073,0.779453,0.989683,1.269716,BAL
2025-10-29T19:20:03,23.093,none,15,433,440,433,440,140.0,140.0,0.0,0.177325,0.167895,1.240072,0.0,0.820,OK,319.0798,428.2796,0.10,0,1788.170667,2902.746667,1.623305,0.767150,0.920869,1.200377,BAL
2025-10-29T19:20:04,23.703,none,16,462,469,462,469,140.0,140.0,0.0,0.163371,0.161990,1.075669,0.0,0.278,OK,319.0798,428.2796,0.10,0,1947.837333,2935.976000,1.507300,0.835649,0.931411,1.114596,BAL
2025-10-29T19:20:05,24.297,none,17,491,498,491,498,140.0,140.0,0.0,0.141641,0.154808,1.075669,0.0,0.278,OK,319.0798,428.2796,0.10,0,1922.637333,3014.418667,1.567856,0.824838,0.956296,1.159375,BAL
2025-10-29T19:20:05,24.843,none,18,520,527,520,527,140.0,140.0,0.0,0.112070,0.136487,1.075669,0.0,0.278,OK,319.0798,428.2796,0.10,0,1955.277333,3164.016000,1.618193,0.838841,1.003754,1.196597,BAL
2025-10-29T19:20:06,25.437,none,19,550,557,550,557,140.0,140.0,0.0,0.098213,0.146636,1.092957,0.0,0.339,OK,319.0798,428.2796,0.10,0,1976.850667,3148.285333,1.592576,0.848096,0.998764,1.177654,BAL
2025-10-29T19:20:07,26.156,none,20,581,588,580,587,140.0,140.0,0.0,0.133143,0.124375,1.092957,20.0,0.339,OK,319.0798,428.2796,0.10,0,1870.808000,3204.546667,1.712921,0.802602,1.016612,1.266645,BAL
