wall_time,elapsed_s,marker,beat_id,footL_idx,peakL_idx,footR_idx,peakR_idx,RT_L_ms,RT_R_ms,DeltaRT_ms,AUSP_L,AUSP_R,AUSPR,DeltaTD_ms,HSI,risk,baseL,baseR,alpha_used,auto_baseline_active,Amp_L,Amp_R,AmpRatio,AmpNorm_L,AmpNorm_R,AmpRatio_norm,dir_amp
2025-10-28T21:42:46,14.281,none,1,16,23,14,21,140.0,140.0,0.0,0.174379,0.143927,0.825365,40.0,0.732,OK,46.3836,76.3920,0.10,1,179.057419,414.886241,2.317057,,,,L↓
2025-10-28T21:42:47,15.000,none,2,52,59,47,54,140.0,140.0,0.0,0.320979,0.130307,0.615666,100.0,4.249,HIGH,62.5438,85.2089,0.10,1,122.165051,488.201844,3.996248,,,,L↓
2025-10-28T21:42:48,15.640,none,3,84,91,81,88,140.0,140.0,0.0,0.141736,0.124254,0.825365,60.0,1.532,WARN,66.6278,85.3563,0.10,1,210.744000,507.328000,2.407319,,,,L↓
2025-10-28T21:42:48,16.359,none,4,117,124,115,122,140.0,140.0,0.0,0.032121,0.116492,0.851011,40.0,0.615,OK,57.5198,84.3433,0.10,1,225.554667,454.370667,2.014459,,,,L↓
2025-10-28T21:42:50,18.453,none,5,223,230,219,226,140.0,140.0,0.0,0.246966,0.120459,0.825365,80.0,2.332,HIGH,39.6101,67.1478,0.10,1,168.560000,461.288000,2.736640,,,,L↓
2025-10-28T21:42:51,19.109,none,6,256,263,254,261,140.0,140.0,0.0,0.181894,0.148897,0.818592,40.0,0.763,OK,43.1360,69.0772,0.10,1,220.637333,494.520000,2.241325,1.132050,1.041654,0.920149,BAL
2025-10-28T21:42:52,19.843,none,7,292,299,290,297,140.0,140.0,0.0,0.109928,0.109742,0.876658,40.0,0.502,OK,43.8700,68.4007,0.10,1,253.224000,489.461333,1.932918,1.201572,1.002580,0.834390,BAL
2025-10-28T21:42:54,21.937,none,8,397,404,397,404,140.0,140.0,0.0,0.108447,0.155489,0.998305,0.0,0.006,OK,37.6969,60.6638,0.10,0,183.165333,435.570667,2.378019,0.929987,0.917484,0.986555,BAL
2025-10-28T21:42:55,22.593,none,9,432,439,431,438,140.0,140.0,0.0,0.281290,0.199422,0.818592,20.0,0.763,OK,37.6969,60.6638,0.10,0,215.525333,516.416000,2.396080,1.022688,1.057792,1.034325,BAL
2025-10-28T21:42:55,23.312,none,10,466,473,466,473,140.0,140.0,0.0,0.134888,0.210862,0.998305,0.0,0.006,OK,37.6969,60.6638,0.10,0,203.293333,474.096000,2.332078,0.982005,0.985341,1.003398,BAL
2025-10-28T21:42:56,24.046,none,11,504,511,501,508,140.0,140.0,0.0,0.244918,0.135496,0.998305,60.0,0.806,OK,37.6969,60.6638,0.10,0,166.496000,459.357333,2.758969,0.818994,0.968912,1.183052,BAL
2025-10-28T21:42:57,24.750,none,12,538,545,535,542,140.0,140.0,0.0,0.144062,0.079598,0.708955,60.0,2.111,HIGH,37.6969,60.6638,0.10,0,169.672000,451.509333,2.661072,0.878086,0.965399,1.099435,BAL
2025-10-28T21:42:57,25.359,none,13,570,577,568,575,140.0,140.0,0.0,0.020336,0.104386,0.708955,40.0,1.311,WARN,37.6969,60.6638,0.10,0,181.194667,402.688000,2.222405,0.989241,0.872964,0.882459,BAL
2025-10-28T21:42:58,26.015,none,14,603,610,602,609,140.0,140.0,0.0,0.094930,0.221874,1.563239,20.0,1.703,WARN,37.6969,60.6638,0.10,0,185.098667,485.298667,2.621838,1.005250,1.037646,1.032227,BAL
2025-10-28T21:42:59,26.734,none,15,637,644,635,642,140.0,140.0,0.0,0.333294,0.237636,0.712990,40.0,1.289,WARN,37.6969,60.6638,0.10,0,197.013333,478.077333,2.426624,1.064369,1.008398,0.947413,BAL
2025-10-28T21:42:59,27.390,none,16,670,677,668,675,140.0,140.0,0.0,0.145550,0.179610,1.234011,40.0,0.801,OK,37.6969,60.6638,0.10,0,236.357333,472.325333,1.998353,1.237110,0.998129,0.806823,BAL
2025-10-28T21:43:00,28.062,none,17,703,710,702,709,140.0,140.0,0.0,0.043340,0.165648,2.000000,20.0,2.642,HIGH,37.6969,60.6638,0.10,0,225.429333,456.696000,2.025894,1.144234,0.966910,0.845028,BAL
2025-10-28T21:43:01,29.375,none,18,769,776,768,775,140.0,140.0,0.0,0.043544,0.090210,2.000000,20.0,2.642,HIGH,37.6969,60.6638,0.10,0,265.717333,434.648000,1.635753,1.327569,0.931109,0.701364,R↓
2025-10-28T21:43:02,30.093,none,19,805,812,802,809,140.0,140.0,0.0,0.458905,0.153503,1.234011,60.0,1.601,WARN,37.6969,60.6638,0.10,0,215.434667,477.114667,2.214661,1.059723,1.010140,0.953211,BAL
2025-10-28T21:43:03,30.750,none,20,838,845,836,843,140.0,140.0,0.0,0.138692,0.183293,1.321586,40.0,1.063,WARN,37.6969,60.6638,0.10,0,261.261333,508.429333,1.946057,1.262018,1.074425,0.851355,BAL
2025-10-28T21:43:04,32.203,none,21,911,918,907,914,140.0,140.0,0.0,0.030083,0.067097,2.000000,80.0,4.242,HIGH,37.6969,60.6638,0.10,0,128.501333,448.709333,3.491865,0.620723,0.948223,1.527610,L↓
2025-10-28T21:43:05,32.921,none,22,946,953,943,950,140.0,140.0,0.0,0.110484,0.092970,1.321586,60.0,1.863,WARN,37.6969,60.6638,0.10,0,217.493333,458.661333,2.108852,1.020667,0.982551,0.962655,BAL
2025-10-28T21:43:06,33.578,none,23,979,986,978,985,140.0,140.0,0.0,0.098455,0.143121,1.321586,20.0,1.063,WARN,37.6969,60.6638,0.10,0,214.349333,435.074667,2.029746,0.997475,0.945152,0.947544,BAL
2025-10-28T21:43:06,34.234,none,24,1012,1019,1011,1018,140.0,140.0,0.0,0.149421,0.187742,1.321586,20.0,1.063,WARN,37.6969,60.6638,0.10,0,206.645333,461.122667,2.231469,0.981700,0.999821,1.018458,BAL
2025-10-28T21:43:07,34.953,none,25,1046,1053,1044,1051,140.0,140.0,0.0,0.299612,0.187286,1.256459,40.0,0.870,OK,37.6969,60.6638,0.10,0,269.282667,490.144000,1.820184,1.253107,1.050180,0.838061,BAL
2025-10-28T21:43:08,35.609,none,26,1081,1088,1079,1086,140.0,140.0,0.0,0.181851,0.186744,1.026904,40.0,0.101,OK,37.6969,60.6638,0.10,0,150.509333,464.122667,3.083680,0.715018,1.003242,1.403101,L↓
2025-10-28T21:43:08,36.281,none,27,1116,1123,1113,1120,140.0,140.0,0.0,0.146206,0.094558,1.026904,60.0,0.901,OK,37.6969,60.6638,0.10,0,164.208000,468.872000,2.855354,0.801134,1.013508,1.265092,BAL
2025-10-28T21:43:09,37.000,none,28,1150,1157,1149,1156,140.0,140.0,0.0,0.108183,0.168848,1.026904,20.0,0.101,OK,37.6969,60.6638,0.10,0,236.677333,478.520000,2.021824,1.124372,1.025772,0.912307,BAL
2025-10-28T21:43:10,37.656,none,29,1185,1192,1184,1191,140.0,140.0,0.0,0.133210,0.106279,0.797835,20.0,0.861,OK,37.6969,60.6638,0.10,0,212.368000,422.112000,1.987644,1.013657,0.912433,0.900139,BAL
2025-10-28T21:43:10,38.390,none,30,1219,1226,1218,1225,140.0,140.0,0.0,0.055411,0.111277,1.026904,20.0,0.101,OK,37.6969,60.6638,0.10,0,163.360000,439.336000,2.689373,0.779737,0.954580,1.224234,BAL
2025-10-28T21:43:11,39.046,none,31,1254,1261,1252,1259,140.0,140.0,0.0,0.310347,0.248892,0.801979,40.0,0.841,OK,37.6969,60.6638,0.10,0,187.424000,463.461333,2.472796,0.894597,1.002529,1.120649,BAL
2025-10-28T21:43:12,39.765,none,32,1289,1296,1286,1293,140.0,140.0,0.0,0.044667,0.203560,1.560766,60.0,2.497,HIGH,37.6969,60.6638,0.10,0,161.768000,436.832000,2.700361,0.772138,0.944927,1.223780,BAL
2025-10-28T21:43:12,40.421,none,33,1323,1330,1321,1328,140.0,140.0,0.0,0.033581,0.120437,2.000000,40.0,2.642,HIGH,37.6969,60.6638,0.10,0,164.184000,404.760000,2.465283,0.783670,0.875551,1.117244,BAL
2025-10-28T21:43:13,41.078,none,34,1356,1363,1356,1363,140.0,140.0,0.0,0.021593,0.100512,2.000000,0.0,2.642,HIGH,37.6969,60.6638,0.10,0,198.776000,409.016000,2.057673,0.948781,0.889374,0.937386,BAL
2025-10-28T21:43:14,41.796,none,35,1392,1399,1391,1398,140.0,140.0,0.0,0.129561,0.153264,2.000000,20.0,2.642,HIGH,37.6969,60.6638,0.10,0,282.026667,396.109333,1.404510,1.321843,0.865475,0.654749,R↓
2025-10-28T21:43:15,42.578,none,36,1429,1436,1426,1433,140.0,140.0,0.0,0.110101,0.118121,2.000000,60.0,3.442,HIGH,37.6969,60.6638,0.10,0,191.106667,369.237333,1.932101,0.912175,0.815629,0.894159,BAL
2025-10-28T21:43:16,43.843,none,37,1492,1499,1491,1498,140.0,140.0,0.0,0.081563,0.181327,2.000000,20.0,2.642,HIGH,37.6969,60.6638,0.10,0,244.709333,422.738667,1.727513,1.168026,0.952066,0.815106,BAL
2025-10-28T21:43:16,44.500,none,38,1527,1534,1524,1531,140.0,140.0,0.0,0.538406,0.269426,1.182945,60.0,1.440,WARN,37.6969,60.6638,0.10,0,180.941333,492.562667,2.722223,0.892609,1.085692,1.216314,BAL
2025-10-28T21:43:17,45.156,none,39,1560,1567,1557,1564,140.0,140.0,0.0,0.359017,0.240981,1.072845,60.0,1.068,WARN,37.6969,60.6638,0.10,0,180.232000,471.357333,2.615281,0.924545,1.038952,1.123744,BAL
2025-10-28T21:43:18,45.875,none,40,1596,1603,1592,1599,140.0,140.0,0.0,0.040141,0.158973,1.072845,80.0,1.868,WARN,37.6969,60.6638,0.10,0,168.773333,470.984000,2.790630,0.891729,1.038129,1.164176,BAL
2025-10-28T21:43:19,46.593,none,41,1632,1639,1629,1636,140.0,140.0,0.0,0.040834,0.091018,2.000000,60.0,3.442,HIGH,37.6969,60.6638,0.10,0,216.602667,488.970667,2.257455,1.111117,1.063229,0.956901,BAL
2025-10-28T21:43:19,47.312,none,42,1668,1675,1666,1673,140.0,140.0,0.0,0.047489,0.040667,0.856338,40.0,0.591,OK,37.6969,60.6638,0.10,0,239.282667,445.416000,1.861464,1.227460,0.982674,0.800575,BAL
